customer_id,donation_id,donation_date,donation_end_date,donation_amount,product,channel_pay
8871404,1238414.1,2024-03-21,2024-03-22,48.0,Membership,Bank Transfer
4605204,1264183.1,2025-08-10,,48.0,Membership,Bank Transfer
5549004,1260340.1,2025-05-16,,48.0,Membership,Bank Transfer
8634194,12588226.3,2024-06-16,2024-08-16,48.0,Membership,Bank Transfer
7287004,1259603.1,2025-05-01,2025-05-17,48.0,Membership,Bank Transfer
3276304,12733014.3,2025-02-20,2025-02-27,48.0,Membership,Bank Transfer
3083704,1249553.1,2024-10-21,2024-10-26,48.0,Membership,Bank Transfer
8664504,1244883.1,2024-07-27,2024-07-27,48.0,Membership,Bank Transfer
5114204,1263910.1,2025-08-05,,48.0,Membership,Bank Transfer
9235104,1262074.1,2025-06-22,,48.0,Membership,Bank Transfer
1893104,1261489.1,2025-06-13,,48.0,Membership,Bank Transfer
647704,1250473.1,2024-11-09,2024-11-17,48.0,Membership,Bank Transfer
7341804,1252451.1,2024-12-09,,48.0,Membership,Bank Transfer
7307604,1247902.1,2024-09-21,2024-10-07,48.0,Membership,Bank Transfer
9921104,1260985.1,2025-05-31,2025-08-15,48.0,Membership,Bank Transfer
4205804,1254395.1,2025-01-12,2025-06-13,48.0,Membership,Bank Transfer
6454504,1244682.1,2024-07-25,2024-08-04,48.0,Membership,Bank Transfer
7012404,1238571.1,2024-03-23,2024-04-05,48.0,Membership,Bank Transfer
4358404,1242074.1,2024-06-06,2024-07-04,48.0,Membership,Bank Transfer
6693604,1247495.1,2024-09-13,2024-09-14,48.0,Membership,Bank Transfer
9709004,1260139.1,2025-05-11,2025-06-01,48.0,Membership,Bank Transfer
17804,1255320.1,2025-01-27,2025-02-01,48.0,Membership,Bank Transfer
3417704,1250239.1,2024-11-04,2024-11-04,48.0,Membership,Bank Transfer
1824904,1257094.1,2025-03-06,2025-03-07,48.0,Membership,Bank Transfer
8016804,12769710.3,2025-04-17,,50.0,Membership_TopUp,Bank Transfer
7935304,12706767.3,2024-12-15,,50.0,General_Donation,Bank Transfer
9760304,12531923.3,2024-03-11,,50.0,General_Donation,Bank Transfer
2656904,1258129.1,2025-03-27,,50.0,General_Donation,Bank Transfer
7694204,12800700.3,2025-08-09,,50.0,General_Donation,Bank Transfer
3698504,1258845.1,2025-04-13,,50.0,General_Donation,Bank Transfer
6037894,12576616.3,2024-05-05,,50.0,General_Donation,Bank Transfer
2602404,1258786.1,2025-04-13,,50.0,General_Donation,Bank Transfer
2322704,1257411.1,2025-03-14,,50.0,General_Donation,Bank Transfer
6348504,1246004.1,2024-08-17,,60.0,General_Donation,Bank Transfer
1942094,12722081.3,2025-02-07,,60.0,Membership_TopUp,Bank Transfer
6421304,12586699.3,2024-06-09,,60.0,General_Donation,Bank Transfer
1624604,1247635.1,2024-09-15,,60.0,General_Donation,Bank Transfer
3983994,1254787.1,2025-01-18,,70.0,General_Donation,Bank Transfer
7326304,1249902.1,2024-10-28,,70.0,General_Donation,Bank Transfer
9936404,1254888.1,2025-01-19,,70.0,General_Donation,Bank Transfer
4159404,1256040.1,2025-02-10,,70.0,General_Donation,Bank Transfer
2588694,1261345.1,2025-06-08,,72.0,Membership,Bank Transfer
8157804,1255386.1,2025-01-30,,72.0,General_Donation,Bank Transfer
2252404,1257032.1,2025-03-06,,75.0,General_Donation,Bank Transfer
3190604,1252212.1,2024-12-07,,80.0,General_Donation,Bank Transfer
6421304,12571657.3,2024-04-29,,85.0,General_Donation,Bank Transfer
8164904,1257208.1,2025-03-09,,90.0,General_Donation,Bank Transfer
3417704,1250252.1,2024-11-04,,90.0,General_Donation,Bank Transfer
1432304,1236194.1,2024-01-27,2024-03-16,96.0,Membership,Bank Transfer
5070504,1243201.1,2024-06-27,,96.0,General_Donation,Bank Transfer
5194804,1254276.1,2025-01-10,,96.0,General_Donation,Bank Transfer
967404,1261338.1,2025-06-08,,96.0,Membership,Bank Transfer
6007804,1255211.1,2025-01-25,2025-07-09,96.0,Membership,Bank Transfer
6122404,1238601.1,2024-03-24,2024-04-27,96.0,Membership,Bank Transfer
9247304,1237645.1,2024-03-03,2025-04-05,96.0,Membership,Bank Transfer
3497004,1259665.1,2025-05-02,,96.0,Membership,Bank Transfer
9242504,1243659.1,2024-07-04,,96.0,General_Donation,Bank Transfer
5921304,1236039.1,2024-01-21,2024-03-11,96.0,Membership,Bank Transfer
3906804,1254665.1,2025-01-17,2025-06-29,96.0,Membership,Bank Transfer
7537704,1250339.1,2024-11-07,2025-01-24,96.0,Membership,Bank Transfer
4671804,1252630.1,2024-12-12,2025-05-27,96.0,Membership,Bank Transfer
3431104,1261037.1,2025-06-01,,96.0,Membership,Bank Transfer
1230504,1242939.1,2024-06-23,2024-08-18,96.0,Membership,Bank Transfer
2251804,1252405.1,2024-12-09,2025-06-24,96.0,Membership,Bank Transfer
3270004,1260763.1,2025-05-25,,96.0,Membership,Bank Transfer
4342004,1258193.1,2025-03-29,,96.0,Membership,Bank Transfer
9159804,1255854.1,2025-02-08,,96.0,Membership,Bank Transfer
9142804,1253000.1,2024-12-15,,96.0,Membership,Bank Transfer
9653304,12512884.3,2024-02-11,2024-03-11,96.0,Membership,Bank Transfer
6695704,1249919.1,2024-10-28,,96.0,General_Donation,Bank Transfer
6856104,1262490.1,2025-06-29,,96.0,Membership,Bank Transfer
5307304,1237500.1,2024-03-02,2024-06-16,96.0,Membership,Bank Transfer
7846504,1245625.1,2024-08-10,2024-10-07,96.0,Membership,Bank Transfer
3797104,1262777.1,2025-07-06,,96.0,Membership,Bank Transfer
7134404,1239567.1,2024-04-13,2024-05-24,96.0,Membership,Bank Transfer
9290604,1246730.1,2024-08-30,2025-07-26,96.0,Membership,Bank Transfer
6630804,1251873.1,2024-12-01,,96.0,Membership,Bank Transfer
6770804,1252023.1,2024-12-05,2025-07-25,96.0,Membership,Bank Transfer
4245104,1262160.1,2025-06-23,,96.0,Membership,Bank Transfer
6133804,1253356.1,2024-12-21,2025-02-02,96.0,Membership,Bank Transfer
9064304,1236688.1,2024-02-09,2024-08-10,96.0,Membership,Bank Transfer
2704404,1239492.1,2024-04-11,2024-11-19,96.0,Membership,Bank Transfer
56104,1262389.1,2025-06-28,,96.0,Membership,Bank Transfer
7809004,1260097.1,2025-05-11,2025-07-25,96.0,Membership,Bank Transfer
3220804,1251614.1,2024-11-29,2025-06-09,96.0,Membership,Bank Transfer
5748404,12650538.3,2024-10-24,2025-04-26,96.0,Membership,Bank Transfer
8126304,1249568.1,2024-10-21,,100.0,General_Donation,Bank Transfer
1488404,1242077.1,2024-06-06,2024-06-14,100.0,Membership,Bank Transfer
1534404,12652091.3,2024-11-04,,100.0,Membership_TopUp,Bank Transfer
9760304,12789016.3,2025-07-05,,100.0,General_Donation,Bank Transfer
6533504,1256759.1,2025-02-27,,100.0,General_Donation,Bank Transfer
249894,12548787.3,2024-03-07,,100.0,General_Donation,Bank Transfer
1494804,1258976.1,2025-04-17,,100.0,General_Donation,Bank Transfer
3688704,1251329.1,2024-11-24,,108.0,General_Donation,Bank Transfer
6001604,1247895.1,2024-09-21,,110.0,General_Donation,Bank Transfer
1233994,1262103.1,2025-06-22,,114.0,General_Donation,Bank Transfer
932704,1249150.1,2024-10-14,,120.0,General_Donation,Bank Transfer
2433804,1256779.1,2025-02-28,,120.0,General_Donation,Bank Transfer
5675704,1249688.1,2024-10-25,,120.0,General_Donation,Bank Transfer
6174304,1249182.1,2024-10-14,,120.0,General_Donation,Bank Transfer
6412504,1243682.1,2024-07-04,,130.0,General_Donation,Bank Transfer
3422304,1242072.1,2024-06-06,,130.0,General_Donation,Bank Transfer
73304,1242750.1,2024-06-20,,140.0,General_Donation,Bank Transfer
9159894,1238365.1,2024-03-18,,140.0,General_Donation,Bank Transfer
9383404,1256030.1,2025-02-10,,140.0,General_Donation,Bank Transfer
9242704,1249187.1,2024-10-14,,144.0,Membership,Bank Transfer
7551894,1245715.1,2024-08-11,,144.0,General_Donation,Bank Transfer
3090804,1252062.1,2024-12-05,2025-03-17,144.0,Membership,Bank Transfer
5151804,1252439.1,2024-12-09,2025-03-08,144.0,Membership,Bank Transfer
2596704,1250017.1,2024-11-01,2025-06-22,144.0,Membership,Bank Transfer
2070004,1262855.1,2025-07-07,,144.0,Membership,Bank Transfer
5101104,1260911.1,2025-05-30,,144.0,Membership,Bank Transfer
5363304,1236475.1,2024-02-03,2024-11-22,144.0,Membership,Bank Transfer
2971004,1258184.1,2025-03-28,,144.0,Membership,Bank Transfer
5222104,1261205.1,2025-06-06,,144.0,Membership,Bank Transfer
4394804,1254338.1,2025-01-11,2025-04-05,144.0,Membership,Bank Transfer
5972504,1243888.1,2024-07-07,2024-09-15,144.0,Membership,Bank Transfer
6642304,1236329.1,2024-01-31,,144.0,General_Donation,Bank Transfer
